Country,Year,Electricity source,Biomass and Waste,Coal,Gas,Geothermal,Hydroelectric,Nuclear,Oil,Solar Tide Wave,Wind
United Arab Emirates,2014,,-,-,95.37000275,-,-,-,1.820000052,0.01,-
United Kingdom,2014,,21.70999908,100.9199982,92.30999756,0.5,5.860000134,57.90999985,3.329999924,3.910000086,24.36000061
United Republic of Tanzania,2014,,-,0.050000001,2.430000067,-,1.779999971,-,2.029999971,-,-
United States of America,2014,,78.97000122,1612.209961,1272.130005,5.590000153,259.2900085,797.0599976,29.35000038,18.80999947,182.0899963
United States Virgin Islands,2014,,-,-,-,-,-,-,0.74000001,-,-
Uruguay,2014,,0.879999995,-,-,-,4.940000057,-,2.640000105,-,0.129999995
Uzbekistan,2014,,-,1.590000033,35.22999954,-,10.96000004,-,0.50999999,-,-
Vanuatu,2014,,-,-,-,-,-,-,0.039999999,-,-
Venezuela,2014,,-,-,18.73999977,-,81.98999786,-,16.86000061,-,-
Viet Nam,2014,,0.050000001,29.38999939,49.79999924,-,54.20000076,-,7.179999828,-,0.050000001
Wake Island,2014,,-,-,-,78.56999969,-,-,-,-,-
Western Sahara,2014,,-,-,-,-,-,-,0.090000004,-,-
Yemen,2014,,-,-,1.220000029,2.289999962,-,-,-,-,-
Yugoslavia,2014,,-,-,-,0.100000001,-,-,-,-,-
Zambia,2014,,-,-,-,-,12.69999981,-,0.029999999,-,-
Zimbabwe,2014,,0.090000004,2.089999914,-,30,5.789999962,-,0.02,-,-
